id,team_name,team_id,wins,draws,losses,goals_for,goals_against,xg_for,xg_against,xg_diff_per90
1,Liverpool,822bd0ba,27,1,1,66,21,56.5,29.3,+0.94
2,Manchester City,b8fd03ef,19,3,7,71,31,68.8,26.3,+1.47
3,Leicester City,a2d435b3,16,5,8,58,28,47.1,35.3,+0.41
4,Chelsea,cff3d9bb,14,6,9,51,39,50.2,28.1,+0.76
5,Manchester Utd,19538871,12,9,8,44,30,44.3,29.4,+0.51
6,Sheffield Utd,1df6b87e,11,11,7,30,25,34.1,35.3,-0.04
7,Wolves,8cec06e1,10,13,6,41,34,38.9,27.9,+0.38
8,Tottenham,361ca564,11,8,10,47,40,38.5,42.7,-0.15
9,Arsenal,18bb7c10,9,13,7,40,39,36.4,44.3,-0.27
10,Burnley,943e8050,11,6,12,34,40,33.3,36.0,-0.09
11,Crystal Palace,47c64c55,10,9,10,26,32,28.2,37.8,-0.33
12,Everton,d3fd31cc,10,7,12,37,46,41.5,37.0,+0.15
13,Newcastle Utd,b2b47a98,9,8,12,25,41,25.3,45.7,-0.70
14,Southampton,33c895d4,10,4,15,35,52,39.8,41.0,-0.04
15,Brighton,d07537b9,6,11,12,32,40,34.1,40.6,-0.22
16,West Ham,7c21e445,7,6,16,35,50,33.1,53.3,-0.70
17,Watford,2abfe087,6,9,14,27,44,34.3,43.8,-0.33
18,Bournemouth,4ba7cbea,7,6,16,29,47,32.6,45.4,-0.44
19,Aston Villa,8602292d,7,5,17,34,56,32.5,57.4,-0.86
20,Norwich City,1c781004,5,6,18,25,52,33.8,46.6,-0.44
